CPAH,YEAR,WAVE,DEP20,DEP10,Region
0,2006,4to5,0to19,10to19,South
0,2006,4to5,20to59,30to39,South
0,2003,2to3,20to59,30to39,South
0,2001,4to5,20to59,20to29,South
0,2006,4to5,20to59,20to29,South
0,2003,2to3,20to59,30to39,South
0,2008,4to5,20to59,30to39,South
0,2006,4to5,20to59,20to29,South
0,2004,2to3,20to59,20to29,South
0,2011,4to5,20to59,30to39,South
0,2014,2to3,20to59,20to29,South
0,2007,4to5,20to59,20to29,South
0,2010,4to5,20to59,40to49,South
0,2006,4to5,20to59,30to39,South
0,2006,4to5,20to59,20to29,South
0,2009,4to5,0to19,10to19,South
0,2003,2to3,20to59,20to29,South
0,2006,4to5,20to59,30to39,South
0,2004,4to5,20to59,30to39,South
0,2006,4to5,20to59,30to39,South
0,2007,2to3,20to59,20to29,South
0,2007,4to5,20to59,30to39,South
0,2009,4to5,20to59,20to29,South
0,2010,4to5,20to59,40to49,South
0,2007,2to3,20to59,30to39,South
0,2007,2to3,20to59,30to39,South
0,2007,4to5,20to59,30to39,South
0,2007,4to5,20to59,20to29,South
0,2007,2to3,20to59,30to39,South
0,2007,4to5,20to59,20to29,South
0.833333333333333,2004,2to3,20to59,40to49,South
0,2004,2to3,20to59,30to39,South
0,2013,4to5,20to59,30to39,South
0,2011,4to5,20to59,30to39,South
0,2004,4to5,0to19,10to19,South
0,2003,2to3,20to59,20to29,South
0,2012,4to5,20to59,40to49,South
0,2007,2to3,20to59,30to39,South
0,2010,4to5,20to59,40to49,South
0,2004,4to5,20to59,30to39,South
0,2006,4to5,20to59,30to39,South
0.214285714285714,2012,2to3,20to59,30to39,South
0,2004,4to5,20to59,30to39,South
0,2007,4to5,20to59,20to29,South
0.923076923076923,2007,2to3,20to59,20to29,South
0.634920634920635,2009,2to3,20to59,20to29,South
0,2004,2to3,20to59,30to39,South
0,2008,4to5,20to59,40to49,South
0,2013,4to5,20to59,20to29,South
0,2006,4to5,0to19,10to19,South
0.5,2006,4to5,20to59,20to29,South
0,2001,4to5,0to19,10to19,South
0.32258064516129,2009,4to5,20to59,20to29,South
0,2010,4to5,20to59,20to29,South
0.571428571428571,2010,4to5,20to59,40to49,South
0,2009,2to3,20to59,30to39,South
0,2007,4to5,20to59,30to39,South
0,2007,4to5,20to59,30to39,South
0,2008,4to5,20to59,30to39,South
0,2013,2to3,20to59,30to39,South
0,2006,2to3,20to59,30to39,South
0,2007,4to5,20to59,20to29,South
0,2006,4to5,20to59,20to29,South
0,2004,2to3,20to59,30to39,South
1,2009,4to5,0to19,10to19,South
0,2007,4to5,20to59,30to39,South
0,2006,2to3,20to59,30to39,South
0,2006,2to3,20to59,30to39,South
0.625,2011,4to5,20to59,30to39,South
0,2001,4to5,20to59,30to39,South
0,2001,4to5,20to59,20to29,South
0,2012,4to5,20to59,40to49,South
0,2006,4to5,0to19,10to19,South
0,2006,4to5,0to19,10to19,South
0,2008,4to5,20to59,30to39,South
0,2009,2to3,20to59,20to29,South
0,2004,4to5,20to59,30to39,South
0,2003,2to3,20to59,50to59,South
0,2009,4to5,0to19,10to19,South
0,2014,4to5,20to59,20to29,South
0.317460317460317,2008,2to3,20to59,30to39,South
0,2007,4to5,20to59,30to39,South
0,2012,4to5,20to59,40to49,South
0,2004,4to5,20to59,30to39,South
0,2013,4to5,20to59,20to29,South
0,2008,4to5,20to59,30to39,South
0,2006,4to5,20to59,20to29,South
0,2001,4to5,20to59,20to29,South
0,2006,4to5,0to19,10to19,South
0,2010,4to5,20to59,40to49,South
0,2007,2to3,20to59,30to39,South
0,2008,4to5,20to59,30to39,South
0,2013,4to5,20to59,20to29,South
0,2009,2to3,20to59,20to29,South
0,2007,4to5,20to59,30to39,South
0,2007,4to5,20to59,30to39,South
0,2010,4to5,20to59,40to49,South
0,2006,4to5,20to59,30to39,South
0,2013,4to5,20to59,30to39,South
0,2009,4to5,20to59,30to39,South
0,2003,2to3,20to59,40to49,South
0,2012,4to5,20to59,40to49,South
0,2004,4to5,20to59,30to39,South
0,2001,4to5,0to19,10to19,South
0,2006,4to5,20to59,30to39,South
0,2006,4to5,20to59,40to49,South
0,2007,4to5,20to59,30to39,South
0,2010,4to5,20to59,30to39,South
0,2001,4to5,20to59,20to29,South
0,2007,4to5,20to59,20to29,South
0,2007,4to5,20to59,30to39,South
0.857142857142857,2009,2to3,20to59,30to39,South
0,2013,2to3,20to59,20to29,South
0.779220779220779,2004,2to3,20to59,30to39,South
0,2006,4to5,20to59,40to49,South
0,2007,4to5,20to59,20to29,South
0,2001,4to5,0to19,0to9,South
0,2004,2to3,20to59,30to39,South
1.25,2001,4to5,0to19,0to9,South
0,2014,2to3,20to59,20to29,South
0,2004,2to3,20to59,40to49,South
0,2001,4to5,20to59,30to39,South
1.11111111111111,2008,4to5,20to59,20to29,South
0,2006,4to5,20to59,40to49,South
0,2001,4to5,20to59,20to29,South
0,2001,4to5,20to59,20to29,South
0,2009,2to3,20to59,30to39,South
0,2007,4to5,20to59,20to29,South
0,2004,2to3,20to59,40to49,South
0,2010,4to5,20to59,30to39,South
0,2001,4to5,20to59,20to29,South
0,2009,2to3,20to59,30to39,South
0,2010,4to5,20to59,40to49,South
0,2006,4to5,20to59,40to49,South
0,2003,2to3,20to59,30to39,South
0,2009,2to3,20to59,30to39,South
0,2006,4to5,20to59,40to49,South
0,2006,4to5,20to59,40to49,South
0,2007,4to5,20to59,20to29,South
0,2009,2to3,0to19,10to19,South
0,2009,2to3,20to59,30to39,South
0,2012,4to5,20to59,40to49,South
0,2014,2to3,20to59,30to39,South
0,2010,4to5,20to59,20to29,South
0,2010,4to5,20to59,40to49,South
0,2013,2to3,0to19,10to19,South
0,2008,2to3,20to59,20to29,South
0,2004,4to5,20to59,30to39,South
0,2008,4to5,20to59,20to29,South
0,2001,4to5,20to59,20to29,South
0,2008,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2011,4to5,0to19,10to19,North
0,2008,4to5,0to19,10to19,North
0,2013,4to5,0to19,10to19,North
0,2011,4to5,0to19,10to19,North
0,2013,4to5,0to19,10to19,North
0,2008,4to5,0to19,10to19,North
0,2008,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0.606060606060606,2011,4to5,0to19,0to9,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2008,4to5,0to19,10to19,North
0,2008,4to5,0to19,10to19,North
2.4,2008,4to5,0to19,10to19,North
0,2008,4to5,0to19,0to9,North
0,2008,4to5,0to19,10to19,North
0,2014,2to3,0to19,10to19,North
0,2014,2to3,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2008,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2005,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2008,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2011,4to5,0to19,10to19,North
0,2011,4to5,0to19,10to19,North
0,2014,2to3,0to19,10to19,North
0,2011,4to5,0to19,10to19,North
0.909090909090909,2005,4to5,0to19,10to19,North
0,2013,4to5,0to19,10to19,North
1.71428571428571,2008,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2011,4to5,0to19,10to19,North
0.38961038961039,2011,4to5,0to19,10to19,North
0.769230769230769,2011,4to5,20to59,20to29,North
0,2013,4to5,0to19,10to19,North
0,2011,4to5,20to59,20to29,North
0,2011,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2014,2to3,0to19,10to19,North
